text
"2023 Clonakilla Canberra District, NSW 95"
"2023 Voyager Estate, Sauvignon/Semillon Margaret River, WA 80"
"2020 Domaine Didier Dagueneau ‘Silex’ Pouilly-Fumé, Loire Valley 960"
"2023 Claude Riffault ‘Mosaĩque Calcaire’ Sancerre, Loire Valley 240"
"2023 Domaine Gérard Boulay ‘Chavignol’ Sancerre, Loire Valley 260"
"2023 Pascal Cotat ‘Les Monts Damn é s’ Sancerre, Loire Valley 690"
"2019 Ashes & Diamonds Blanc blend No.5 Napa Valley, California 380"
"2019 Vinea Marson ‘Grazia blend ’ Alpine Valleys, Vic 95"
"2024 Clarence House Coal River Valley, Tas 83"
"2024 Domaine Simha ‘ F ield blend blanc’ Derwent Valley, Tas 90"
"2022 Jint aro Yura ‘ La Partie et le Tout’ Alsace, FR 370"
"2021 Weingut Rebholz Pfalz, GER 180"
"2023 Keller ‘Pinot Blanc blend’ Rheinhessen, GER 260"
"2022 Poppelvej ‘Blue Rose Case’ Adelaide Hills, SA 120"
"2023 MMAD McLaren Vale, SA 135"
"2023 L.A.S. Vino ‘CBDB’ Margaret River, WA 200"
"2023 Wines of Merritt ‘Single Vineyard’ Margaret River, WA 108"
"2023 NOW Swan Valley, WA 190"
2021 Millton ‘Te Arai Vineyard ’ Gisborne 85
2021 Millton ‘Libiamo Amphora’ Gisborne 135
"2020 Domaine Belargus ‘Rou ères ’ Anjou, Loire Valley 580"
"2022 Domaine Guiberteau Saumur, Loire Valley 190"
"2022 F. Duveau ‘Poyeux’ Saumur, Loire Valley 1.5L 390"
"2016 Nicolas Joly, ‘ Coulée de Serrant ’ (Dry) Savennières, Loire Valley 620"
"2022 Nicolas Joly,‘Coulée de Serrant’ (Off-dry) Savennières, Loire Valley 800"
"2020 François Chidaine ‘Les Tuffeaux’ Montlouis Sur Loire, Loire Valley 230"
"2022 Domaine Taille Aux Loups ‘Bretonniére’ Vin de France (Vouvray), Loire Valley 340"
"1981 Huet ‘Clos du Bourg’, Demi-Sec Vouvray, Loire Valley 375ml 590"
"2021 Naudé Stellenbosch, Western Cape 190"
"2022 Gabriëlskloof ‘The Landscape Elodie ’ Swartland, Western Cape 160"
"2022 The Sadie Family ‘Palladius’ blend Swartland, Western Cape 760"
"2023 The Sadie Family ‘Skerpioen’ Swartland, Western Cape 490"
"2022 Vinden Hunter Valley, NSW 95"
"2024 Sherrah McLaren Vale, SA 74"
"2021 By Farr Geelong, Vic 245"
"2019 Inkwell ‘Blonde on Blonde’ McLaren Vale, SA 75"
"2022 Andr é Perret ‘Coteau de Chéry’ Condrieu, Rhône Valley 620"
"2022 David Duclaux ‘Les Caillets’ Condrieu, Rhône Valley 360"
"2013 R. Rostaing ‘La Bonnette’ Condrieu, Rhône Valley 345"
"2023 Aligoté, Domaine Collotte Bourgogne, FR 130"
"2024 Arneis, Thick as Thieves ‘Aloof Alpaca’ Yarra Valley, Vic 80"
"2022 Colombard , Naudé ‘Langpad Old Vine s ’ Western Cape, South Africa 190"
"2022 Gewürztraminer blend, La Violetta Great Southern, WA 85"
"2011 Godello, Valdesil ‘Pedrouzos’ Valdeorras, ESP 1.5L 885"
"2022 Greco , Benito Ferrara, Terra D’Uva Greco Di Tufo, IT 115"
"2024 Grüner Veltliner, CRFT ‘ Arranmore ’ Adelaide Hills, SA 90"
"2021 Grüner Veltliner, Nikolaihof, Federspiel Wachau, Austria 240"
"2022 Marsanne blend, Place of Changing Winds, Macedon Ranges, Vic 210"
"2021 Marsanne/Roussanne, Yeringberg Yarra Valley, Vic 180"
"2016 Marsanne, Marc Sorrel Hermitage Blanc, Rhône Valley, FR 720"
"2023 Malagousia, Ktima Zafeirakis Tyrnavos, Larissa, GR 115"
"2020 Pierre Luneau-Papin, La Grange Muscadet Sèvre et Maine, FR 80"
"2023 Rebula, Iggy Adelaide Hills, SA 170"
"2022 Roussanne, Michael Hall Barossa Valley, SA 110"
"2022 Roussanne/Marsanne, Iggy ‘Deda’ Barossa Valley, SA 170"
"2019 Roussanne, Claude Quenard et Fils Chignin-Bergeron, Savoie, FR 220"
"2021 Rhône blend, Domaine de Beaurenard Châteauneuf-du-Pape, FR 280"
"NV Savagnin, Soumah ‘Muse No 3’ Yarra Valley, Vic 280"
"2022 S avagnin, Domaine du Pélican ‘ Ouillè ’ Jura, FR 295"
"2020 Tokaji Furmint, Szepsy Tokaji, Hungary 180"
"2023 Vermentino, Seppeltsfield Barossa Valley, SA 80"
"2023 Vermentino, Gullyview Estate ‘Albert’s’ Clare Valley, SA 90"
"2014 Viura, Ló pez de Heredia ‘Viňa Gravonia’ Rioja Alta, ESP 340"
"2022 Renzaglia Wines ‘Bella Luna’ Bathurst, NSW 180"
"2023 Tyrrell ’s ‘HVD Vineyard’ Hunter Valley, NSW 195"
"2018 Tyrrell’s ‘HVD Vineyard’ Hunter Valley, NSW 280"
"2023 De Salis ‘Estate’ Orange, NSW 120"
"2022 Mathe w Atallah ‘Block a2’ Orange, NSW 135"
"2022 Nick O’leary Tumbarumba, NSW 80"
"2002 Eastern Peake Ballarat, Vic 210"
"2024 Bannockburn Geelong, Vic 225"
"2023 Bannockburn Geelong, Vic 1.5L 430"
"2023 Bannockburn S.R.H. Geelong, Vic 295"
"2023 By Farr Geelong, Vic 375"
"2023 Irrewarra Geelong, Vic 180"
"2024 Wickhams Road Gippsland, Vic 85"
"2022 Latta ‘Jurassique Blanc O u illé’ Henty, Vic 120"
"2022 Tarrington Henty, Vic 200"
"2024 Bindi ‘Glenhope Vineyard’ Macedon Ranges, Vic 120"
"2023 Bindi ‘ Quartz ’ Macedon Ranges, Vic 340"
"2023 Cobaw Ridge Macedon Ranges, Vic 270"
"2024 Josh Cooper Macedon Ranges, Vic 140"
"2023 Josh Cooper ‘Dash Farms’ Macedon Ranges, Vic 225"
"2022 Place of Changing Winds ‘La r derdark’ Macedon Ranges, Vic 460"
"2023 Elanto Vineyard Mornington Peninsula, Vic 210"
"2023 Montalto ‘Pennon Hill’ Mornington Peninsula, Vic 100"
"2022 Moorooduc Estate Mornington Peninsula, Vic 120"
"2023 Ocean Eight ‘Verve’ Mornington Peninsula, Vic 150"
"2023 Ben Haines ‘Flowers’ Yarra Valley, Vic 120"
"2023 Giant Steps ‘Bastard Hill’ Yarra Valley, Vic 240"
"2022 Giant Steps ‘Equate’ Yarra Valley, Vic 325"
"2021 Mac Forbes ‘Yarra Junction’ Yarra Valley, Vic 110"
"2021 Mount Mary Yarra Valley, Vic 395"
"2019 Oakridge ‘ 864 Vi neyard’ Yarra Valley, Vic 1.5L 615"
"2023 Oakridge ‘Local Vineyard Series’ Yarra Valley, Vic 100"
"2024 Soumah ‘SV Hexham’ Yarra Valley, Vic 120"
"2024 Timo Mayer Yarra Valley, Vic 160"
"2020 Wantirna Estate ‘Isabella’ Yarra Valley, Vic 270"
"2022 Yeringberg Yarra Valley, Vic 200"
"2021 Lowestoft ‘La Meil l eure’ Coal River Valley, Tas 280"
"2023 Tolpuddle Coal River Valley, Tas 285"
"2023 Tolpuddle Coal River Valley, Tas 1.5L 620"
"2023 Pooley ‘ Cooinda Vale Vineyard ’ Coal River Valley, Tas 240"
"2024 Pooley ‘Elizabeth Anne’ Coal River Valley, Tas ` 415"
"2023 Sailor Seeks Horse Huon Valley, Tas 190"
"2021 Les Fruits ‘Cassie’ Adelaide Hills, SA 125"
"2022 Moorak ‘Carey Gully’ ` Adelaide Hills, SA 110"
"2023 Shaw + Smith ‘Lenswood Vineyard’ Adelaide Hills, SA 250"
"2021 Shaw + Smith ‘Lenswood Vineyard’ Adelaide Hills, SA 1.5L 500"
"2024 Shaw + Smith ‘M3’ Adelaide Hills, SA 140"
"2023 Tapanappa ‘Piccadilly Valley’ Adelaide Hills, SA 170"
"2024 Tapanappa ‘Tiers’ Adelaide Hills, SA 260"
"2011 Cullen ‘Kevin John’ Margaret River, WA 920"
"2023 Cullen ‘Kevin John’ Margaret River, WA 500"
"2020 Cullen ‘Kevin John Fruit Day’ Margaret River, WA 790"
"2023 Deep Woods Estate ‘Single Vineyard’ Margaret River, WA 130"
"2023 Domaine Naturaliste ‘Floris’ Margaret River, WA 100"
"2022 Leeuwin Estate ‘Art Series’ Margaret River, WA 450"
"2023 Moss Wood ‘ Wilyabrup ’ Margaret River, WA 280"
2021 Millton Clos de Ste. Anne ‘Naboth’s’ Gisborne 260
2020 Pyramid Valle y ‘Lion’s Tooth’ North Canterbury 430
2020 Pyramid Valley ‘Field of Fire’ North Canterbury 430
2023 Domaine Collotte Bourgogne Blanc 200
2022 Hubert Lamy ‘Les Chataigners’ Bourgogne Blanc 430
2021 Fabien Coche Bourgogne Blanc 240
2022 Jane Eyre Bourgogne Blanc 280
2021 Billaud- Simon ‘Tête D’or’ Chablis 330
2023 Séguinot-Bordet ‘Vieilles Vignes’ Chablis 230
2018 Vincent Dauvissat Chablis 510
2023 Christian Moreau ‘Vaillon’ Chablis 1 er Cru 390
2022 Vincent Dauvissat ‘La Forest’ Chablis 1 er Cru 840
"2022 Albert Bichot ‘Moutonne’ Chablis, Grand Cru 980"
"2022 Samuel Billaud ‘Les Preuses’ Chablis, Grand Cru 900"
2022 Fabien Coche Auxey-Duresses 385
"2022 Pierre Girardin ‘Grand es Épenot es’ Beaune 1 er Cru 1.5L 1,350"
2022 Pierre-Yves Colin-Morey Hautes-Côtes-De-Beaune 380
2022 Antoine Jobard Meursault 820
"2021 Benjamin Leroux ‘Les Charmes - Dessus’ Meursault, 1 er Cru 1,100"
2022 Caroline Morey ‘Chambrees’ Chassagne-Montrachet 840
2021 Pierre-Yves Colin-Morey Chassagne-Montrachet ‘Vieilles Vignes’ 720
2022 Hubert Lamy ‘La Princée’ Saint-Aubin 580
2023 Mee Godard Beaujolais Blanc 195
2019 Domaine Thibert ‘En Chailloux’ Mâcon-Prissé 180
2022 Domaine du Pélican ‘Arbois’ Jura 295
2020 Jérôme Arnoux ‘Initial’ Jura 190
"2021 Mayacamas Mount Veeder, Napa Valley, USA 520"
"2022 Keller ‘Alte Reben Réserve blend ’ Rheinhessen, GER 490"
"2021 Franchetti ‘Passopisciaro, Contrada PC’ Terre Siciliane, Sicily, I T 440"
"2023 Vinden ‘Experimental Range ’ Hunter Valley, NSW 90"
"2022 Renzaglia Wines ‘ Murnang ’ Bathurst, NSW 95"
"2023 Latta ‘Rattlesnake’ Pyrenees, Vic 105"
"2022 La Petite Mort ‘Qvevri’ Granite Belt, Qld 110"
"2021 Millton ‘Libiamo Amphora’ Gisborne, NZ 135"
"2022 Les Arches de Belliviè re ‘Caragouille’ VDF Blanc, Loire Valley, FR 110"
"2023 Vinden ‘The Headcase’ Hunter Valley, NSW 90"
"2024 Joshua Cooper Macedon Ranges, Vic 120"
"2023 Marli Russell by Mount Mary Yarra Valley, Vic 115"
"2023 Praeter ‘Stolen Moments’ Adelaide Hills, SA 105"
"2024 Spinifex Barossa Valley, SA 74"
"2024 MMAD McLaren Vale, SA 110"
2023 Pierre-Yves Colin-Morey Bourgogne 260
2023 Domaine Tempier Bandol 240
2022 Tour du Bon Bandol 1.5L 525
2023 By. Ott Provence 120
2023 Maison Saint AIX Provence 110
2021 Domaine de la Mordorée Tavel 180
"2024 Dhillon by Bindi ‘Accidental Red’ Macedon Ranges, Vic 75"
"2022 Moorak ‘Oakbank’ Adelaide Hills, SA 95"
"2024 Ochota Barrels ‘Texture like Sun ’ Adelaide Hills, SA 115"
"2021 Windy View ‘Purple Slurple’ Adelaide Hills, SA 110"
"2023 Poppelvej ‘Blue Rose Case ’ McLaren Vale, SA 95"
"2023 Lark Hill ‘Regional’ Canberra District, NSW 80"
"2023 De Salis ‘Estate’ Orange, NSW 120"
"2024 Bannockburn Geelong, Vic 220"
"2021 By Farr ‘ Tout Prés ’ Geelong, Vic 380"
"2022 Irrewarra Geelong, Vic 180"
"2018 Bass Phillip ‘Estate’ Gippsland, Vic 345"
"2024 Wickhams Road Gippsland, Vic 85"
"2022 Bindi ‘Block 5’ Macedon Ranges, Vic 460"
"2019 Bindi ‘Block 8’ Macedon Ranges, Vic 480"
"2022 Bindi ‘Block 8’ Macedon Ranges, Vic 445"
"2018 Bindi ‘Darshan’ Macedon Ranges, Vic 390"
"2021 Bindi ‘Kaye’ Macedon Ranges, Vic 265"
"2023 Cobaw Ridge ‘Original Block’ Macedon Ranges, Vic 270"
"2021 Garden of Earthly delights Macedon Ranges, Vic 160"
"2023 Josh Cooper ‘Doug’s Vineyard’ Macedon Ranges, Vic 220"
"2022 Place of Changing Winds ‘2 Mountains’ Macedon Ranges, Vic 360"
"2022 Shadowfax Macedon Ranges, Vic 105"
"2024 William Downie ‘Cathedral’ Mornington and King Valley, Vic 80"
"2023 Elanto Vineyard Mornington Peninsula, Vic 210"
"2005 Kooyong ‘Ferrous’ Mornington Peninsula, Vic 372"
"2024 Onannon Mornington Peninsula, Vic 95"
"2021 Paradigm Hill ‘ Les Cinq ’ Mornington Peninsula, Vic 285"
"2022 Yabby Lake ‘Block 2’ Mornington Peninsula, Vic 320"
"2021 Yal Yal Estate Mornington Peninsula, Vic 110"
"2023 Jane Eyre Yarra Valley, Vic 240"
"2022 Mount Mary Yarra Valley, Vic 480"
"2018 Yeringberg Yarra Valley, Vic 320"
2022 Jane Eyre Tasmania 260
"2023 Pooley ‘ Butcher ’s Hill Vineyard ’ Coal River Valley, Tas 230"
"2023 Tolpuddle Coal River Valley, Tas 285"
"2023 Sailor Seeks Horse Coal River Valley, Tas 190"
"2023 Michael Hall ‘Sang de Pigeon’ Adelaide Hills, SA 85"
"2023 Tapanappa ‘Foggy Hill Vineyard ’ Fleurieu Peninsula, SA 150"
"2022 Picardy Pemberton, WA 190"
2022 Kumeu River ‘Village’ Auckland 85
2020 Pyramid Valley ‘Earth Smoke’ North Canterbury 395
"2016 Pyramid Valley ‘Angel Flower’ Waipara Valley, North Canterbury 520"
2021 Pegasus Bay North Canterbury 225
2006 Felton Road ‘ Bannockburn ’ Central Otago 565
2022 Jintaro Yura ‘La Partie et le Tout’ Alsace 395
"2019 Charles Heidsieck, Coteaux Champenois Ambonnay, Champagne 530"
2022 Benjamin Leroux Bourgogne Rouge 295
2022 Jean- Marie Fourrier ‘Comte de Chapelle’ Bourgogne Rouge 320
2022 Domaine Collotte ‘Les Grasses Têtes’ Marsannay 220
"2018 Joseph Drouhin ‘Amoureuses’ Chambolle-Musigny, 1 er Cru 1,800"
"2015 Domaine de la Romanée-Conti La Tache, Grand Cru 12,100"
"2020 Domaine de la Romanée-Conti Romanée-St-Vivant, Grand Cru 6,400"
2021 Benjamin Leroux Vosne-Romanée 790
2019 Domaine Génot-Boulanger Pommard ‘Vieilles Vignes’ 460
2021 Benjamin Leroux Volnay 575
2022 Pierre-Yves-Colin-Morey Monthélie 350
2022 Fabien Coche Meursault 390
2022 Caroline Morey Santenay 340
"2022 Traviarti Beechworth, Vic 200"
"2023 Jasper Hill ‘Georgia’s Paddock’ Heathcote, Vic 195"
"2020 Lethbridge ‘ Il Regalo di Compleanno’ Pyrenees, Vic 150"
"2022 Thick as Thieves ‘Pocco Rosso’ Yarra Valley, Vic 95"
"2020 Cascina delle Rose ‘ Rio Sordo ’ Barbaresco, Piemonte 440"
"2020 Ceretto Barbaresco, Piemonte 410"
"2020 Gaja Barbaresco, Piemonte 1,300"
"2016 La Spinetta ‘Gallina’ Barbaresco, Piemonte 772"
"2021 Massolino Barbaresco, Piemonte 320"
"2019 Gaja ‘Dagro mis ’ Barolo, Piemonte 720"
"2020 Giacomo Conterno ‘Vigna Francia’ Barolo, Piemonte 1,350"
"2020 Giulia Negri ‘ Serradenari ’ Barolo, Piemonte 385"
"2020 Luigi Pira ‘Serralunga d ’Alba’ Barolo, Piemonte 330"
"2018 Mascarello ‘Monprivato’ Barolo, Piemonte 1,450"
"2017 Paolo Scavino ‘Cannubi’ Barolo, Piemonte 1.5L 1,300"
"2016 Sandrone ‘Vite Talin’ Barolo, Piemonte 1,700"
"2018 Sandrone ‘Le Vigne’ Barolo, Piemonte 515"
"2017 Sandrone ‘Aleste’ Barolo, Piemonte 558"
"2022 Cascina delle Rose Langhe, Piemonte 200"
"2022 Cascina delle Rose Langhe, Piemonte 1.5L 425"
"2022 Sottimano Langhe, Piemonte 185"
"2023 Renzaglia Bathurst, NSW 100"
"2022 Garden of Earthly Delights Heathcote, Vic 110"
"2019 Vinea Marson Heathcote, Vic 95"
"2023 Dal Zotto King Valley, Vic 70"
"2024 Timo Mayer Yarra Valley, Vic 165"
"2024 The Other Wine Co Adelaide Hills, SA 75"
"2020 Il Marroneto Brunello di Montalcino, Toscana 800"
"2017 Pian Dell’Orino Brunello di Montalcino ‘Riserva’, T oscana 1,165"
"2019 Uccelliera Brunello di Montalcino, Toscana 540"
"2015 Isole e Olena ‘Gran Selezione’ Chianti Classico, Toscana 1.5L 1,620"
"2022 Le Corti Chianti Classico, Toscana 95"
"2020 Il Marroneto ‘Jacopo’ Rosso di Montalcino, Toscana 480"
"2021 Le Ragnaie Rosso di Montalcino, Toscana 220"
2022 Il Poggione Toscana Rosso 95
"2023 Sinapius ‘Esm é ’ Pipers River, Tas 105"
"2024 Empire of Dirt ‘Ink’ Geelong, Vic 120"
"2024 Farr Rising Geelong, Vic 165"
2023 Mee Godard Beaujolais 185
2020 Louis Boillot Moulin-à-Vent 190
"2021 Camille Mélinand Fleurie, Beaujolais 160"
"2022 Domaine de la Grand ’ Cour ‘ VV Le Clos ’ Fleurie, Beaujolais 355"
"2023 Thé venet ‘En Voiture Simone’ Régnié, Beaujolais 160"
"2019 Aglianico, Chalmers Heathcote, Vic 115"
"2024 Barbera, Breaking Ground Hunter Valley, NSW 80"
"2022 Barbera, Vinea Marson Heathcote, Vic 95"
"2022 Barbera, Giacomo Conterno ‘Francia’ Barbera d ’ Alba, Piemonte, IT 480"
"2023 Cinsault/Grenache, Les Fruits Adelaide Hills, SA 95"
"2017 Cinsault, Naudé ‘Old Vine Werfdans’ Darling, Western Cape, South Africa 190"
"2015 Corvina blend, Quintarelli Valpolicella Superiore, Veneto, IT 585"
"2015 Corvina blend, Quintarelli ‘Ca’ del Merlo’ Veneto, IT 585"
"2015 Corvina blend, Quintarelli Amarone della Valpolicella, Veneto, IT 1,500"
"2022 Dolcetto, Cascina Delle Rose Dolcetto d’Alba, IT 120"
"2022 Malb ec blend, Bacchus ‘Family Wine’ Margaret River, WA 160"
"2021 Malbec blend, McHenry Hohnen Margaret River, WA 125"
"2021 Mencia, Swinney Frankland River, WA 108"
"2022 Mondeuse, Mount Majura Canberra District, NSW 85"
"2021 Mourvèdre, Hewitson ‘Old Garden Vineyard’ , Barossa Valley, SA 240"
"2022 Mourvèdre Blend, Tim Smith Barossa Valley, SA 90"
"2023 Mourvèdre, Swinney Frankland River, WA 115"
"2023 Mourvè dre, Swinney ‘Farvie’ Frankland River, WA 350"
"2015 Mourvèdre, Yangarra McLaren Vale, SA 125"
"2022 Nerello Mascalese, Tenuta Terre Nere ‘Bellacolona’ Etna, Sicily, IT 270"
"2022 Ne rello Mascalese, Tenuta Terre Nere ‘San Lorenzo’, Etna, Sicily , IT 460"
"2022 Nero d’Avola bl end, Eldorado Road Beechworth, Vic 85"
"2013 Cullen ‘Mangan East Block’ Margaret River, WA 325"
"2020 Pinot Meunier, Best’s ‘Old Vine’ Great Western, Vic 285"
"2017 Sagrantino, Sassafras Canberra District, NSW 85"
"2021 Xin omavro, Thymiopoulos ‘Alta’ Naoussa, Macedonia, GR 115"
"2021 Matthew Atallah ‘Block 1’ Orange, NSW 135"
"2019 Wantirna Estate ‘Hannah’ Yarra Valley, Vic 400"
"2020 Wantirna Estate ‘Hannah’ Yarra Valley, Vic 390"
2023 Gertie Clare Valley. SA 85
"2022 Parley ‘Fever’ Langhorne Creek, SA 90"
"2021 Terre à Terre ‘ Crayères Vineyard ’ Wrattonbully, SA 120"
"2014 Terre à Terre ‘ Crayères Vineyard ’ Wrattonbully, SA 160"
"2015 Frankland Estate ‘Olmo’s Reward’ Frankland River, WA 260"
"2022 NOW Margaret River, WA 190"
"2019 A rnaud Lambert ‘ Brézé, Clos Tue- Loup’ Saumur, Loire Valley 220"
"2022 Antoine Sanzay ‘La Paterne’ Saumur-Champigny, Loire Valley 200"
"2021 Robert Stein ‘Reserve’ Mudgee, NSW 220"
"2019 Bloodwood Wines Orange, NSW 135"
"2015 Mount Mary ‘JWDM’ Yarra Valley, Vic 1,250"
"2016 Mount Mary ‘Quintet’ Yarra Valley, Vic 740"
"2021 Mount Mary ‘Quintet’ Yarra Valley, Vic 540"
"2022 Yarra Yering ‘Agincourt blend’ Yarra Valley, Vic 290"
"2018 Yarra Yering ‘Agincourt blend ’ Yarra Valley, Vic 320"
"2022 Yarra Yering ‘Dry Red No 1 blend’ Yarra Valley, Vic 395"
"2022 Yeringberg Yarra Valley, Vic 280"
"2022 Yeringberg ‘Yeringberg blend’ Yarra Valley, Vic 280"
"2020 Wantirna Estate ‘Amelia’ Yarra Valley, Vic 300"
"2023 Joshua Cooper ‘Cabernet b lend’ Macedon/Pyrenees, Vic 150"
"2023 Joshua Cooper ‘Dash Farms’ Macedon Ranges, Vic 175"
"2022 Yalumba ‘The Signature’ Barossa, SA 210"
"2023 Gullyview Estate ‘Courtside’ Clare Valley, SA 90"
"2021 Henschke ‘Cyril Henschke’ Eden Valley, SA 490"
"2015 Hickinbotham ‘The Peake’ McLaren Vale, SA 448"
"2016 Hickinbotham ‘Trueman’ McLaren Vale, SA 310"
"2014 Terre à Terre ‘Crayères Vineyard’ Wrattonbully, SA 180"
"2014 Yalumba ‘The Caley’ Multi-Regional, SA 940"
"2020 Ashbrook Estate Margaret River, WA 90"
"2021 Cullen ‘Diana Madeline’ Margaret River, WA 460"
"2016 Cullen ‘Vanya’ Margaret River, WA 924"
"2017 Cullen ‘Vanya Flower Day’ Margaret River, WA 980"
"2023 Moss Wood ‘Amy’s’ Margaret River, WA 125"
"2021 Moss Wood Margaret River, WA 410"
"2012 Domaine de Trévallon Alpilles, Les Baux-de-Provence 900"
"2021 Domaine de Trévallon Alpilles, Les Baux-de-Provence 690"
"2018 Carruades de Lafite Pauillac, Bordeaux 1,320"
"2018 Le Petit Mouton de Mouton Rothschild Pauillac, Bordeaux 1,400"
"2018 Tenuta dell’ Ornellaia Bolgheri Superiore, Toscana 1.5L 2,800"
"2014 Quintarelli ‘Alzero’ Veneto, IT 1,600"
"2023 Thick as Thieves ‘Levings’ Yarra Valley, Vic 155"
"2024 Timo Mayer Yarra Valley, Vic 165"
"2023 Dhillon by Bindi ‘Col Mountain’ Heathcote, Vic 120"
"2022 Marli Russel ‘RP2 blend’ Yarra Valley, Vic 145"
"2017 Marli Russel ‘RP2 blend’ Yarra Valley, Vic 170"
"2023 Kin by Alkina Barossa Valley, SA 110"
"2020 Alkina ‘Polygon 3’ - Schist/Limestone Barossa Valley, SA 690"
"2022 Alkina ‘Polygon 3’ - Schist/Limestone Barossa Valley, SA 650"
"2020 Alkina ‘Polygon 5’ - Clay/Schist Barossa Valley, SA 690"
"2022 Alkina ‘Polygon 5’ - Clay/Schist Barossa Valley, SA 650"
"2019 Charles Melton ‘Nine Popes GSM ’ Barossa Valley, SA 295"
"2023 Sp inifex ‘Papillon’ Barossa Valley, SA 80"
"2022 Seppeltsfield Barossa Valley, SA 75"
"2021 Rusden ‘Christine’s Vineyard’ Barossa Valley, SA 120"
"2022 Tscharke ‘Stone Well’ Barossa Valley, SA 130"
2023 Munda Ngadjuri and Peramangk Country 110
"2022 Bourke & Travers ‘GSM’ Clare Valley, SA 95"
