,page_num,rect_num,x0,y0,x1,y1,width,height,pts,linewidth,stroke,fill,evenodd,stroking_color,non_stroking_color,mcid,tag,object_type,page_number,path,dash,top,bottom,doctop
23,15,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,21,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,20499.359999999993
24,16,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,22,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,21519.839999999993
25,16,1,70.584,491.95,694.924,492.42998,624.3399999999999,0.47998000000001184,"[(70.584, 528.53), (694.924, 528.53), (694.924, 528.05002), (70.584, 528.05002)]",0,False,True,True,0,0.0,,Artifact,rect,22,"[('m', (70.584, 528.53)), ('l', (694.924, 528.53)), ('l', (694.924, 528.05002)), ('l', (70.584, 528.05002)), ('h',)]",,528.05002,528.53,21958.130019999993
26,17,0,72.024,932.64,320.44399999999996,933.24001,248.41999999999996,0.6000099999999975,"[(72.024, 87.84000000000003), (320.44399999999996, 87.84000000000003), (320.44399999999996, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,23,"[('m', (72.024, 87.84000000000003)), ('l', (320.44399999999996, 87.84000000000003)), ('l', (320.44399999999996, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,22537.799989999992
27,17,1,70.584,222.98,694.924,223.46004,624.3399999999999,0.48004000000000246,"[(70.584, 797.5), (694.924, 797.5), (694.924, 797.0199600000001), (70.584, 797.0199600000001)]",0,False,True,True,0,0.0,,Artifact,rect,23,"[('m', (70.584, 797.5)), ('l', (694.924, 797.5)), ('l', (694.924, 797.0199600000001)), ('l', (70.584, 797.0199600000001)), ('h',)]",,797.0199600000001,797.5,23247.579959999995
28,18,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,24,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,23560.799999999992
29,18,1,70.584,200.66,694.924,201.13998,624.3399999999999,0.47998000000001184,"[(70.584, 819.82), (694.924, 819.82), (694.924, 819.34002), (70.584, 819.34002)]",0,False,True,True,0,0.0,,Artifact,rect,24,"[('m', (70.584, 819.82)), ('l', (694.924, 819.82)), ('l', (694.924, 819.34002)), ('l', (70.584, 819.34002)), ('h',)]",,819.34002,819.82,24290.380019999993
30,19,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,25,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,24581.27999999999
31,20,0,72.024,932.64,242.444,933.24001,170.42,0.6000099999999975,"[(72.024, 87.84000000000003), (242.444, 87.84000000000003), (242.444, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,26,"[('m', (72.024, 87.84000000000003)), ('l', (242.444, 87.84000000000003)), ('l', (242.444, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,25599.239989999995
32,21,0,70.584,913.42,694.924,913.9,624.3399999999999,0.4800000000000182,"[(70.584, 107.06000000000006), (694.924, 107.06000000000006), (694.924, 106.58000000000004), (70.584, 106.58000000000004)]",0,False,True,True,0,0.0,,Artifact,rect,27,"[('m', (70.584, 107.06000000000006)), ('l', (694.924, 107.06000000000006)), ('l', (694.924, 106.58000000000004)), ('l', (70.584, 106.58000000000004)), ('h',)]",,106.58000000000004,107.06000000000006,26639.059999999994
33,21,1,70.584,562.27,694.924,562.75001,624.3399999999999,0.48000999999999294,"[(70.584, 458.21000000000004), (694.924, 458.21000000000004), (694.924, 457.72999000000004), (70.584, 457.72999000000004)]",0,False,True,True,0,0.0,,Artifact,rect,27,"[('m', (70.584, 458.21000000000004)), ('l', (694.924, 458.21000000000004)), ('l', (694.924, 457.72999000000004)), ('l', (70.584, 457.72999000000004)), ('h',)]",,457.72999000000004,458.21000000000004,26990.209989999992
34,21,2,70.584,290.33,694.924,290.80998,624.3399999999999,0.47998000000001184,"[(70.584, 730.1500000000001), (694.924, 730.1500000000001), (694.924, 729.67002), (70.584, 729.67002)]",0,False,True,True,0,0.0,,Artifact,rect,27,"[('m', (70.584, 730.1500000000001)), ('l', (694.924, 730.1500000000001)), ('l', (694.924, 729.67002)), ('l', (70.584, 729.67002)), ('h',)]",,729.67002,730.1500000000001,27262.150019999994
